Indicadores municipales de sostenibilidad: Superficie agrícola (% s/ superficie total);;;;;;;;;
"";;;;;;;;;
Resumen de datos;;;;;;;;;
20071;Tolosa;0,65;0,65;0,65;0,65;0,65;0,65;0,64;0,29
48087;Trucios-Turtzioz;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48088;Ubide;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48065;Ugao-Miraballes;1,52;1,52;1,52;1,52;1,52;1,52;1,52;1,54
48089;Urduliz;1,28;1,28;1,28;1,28;1,15;1,54;1,54;1,54
48074;Urduña/Orduña;1,95;1,95;1,74;1,74;1,74;1,74;1,74;1,76
01054;Urkabustaiz;1,51;1,51;1,51;1,51;1,51;1,51;1,51;1,64
20072;Urnieta;2,14;2,14;2,01;2,01;2,01;2,01;2,01;1,52
20077;Urretxu;1,20;1,20;1,20;1,20;1,20;1,20;1,20;0,13
20073;Usurbil;6,13;6,13;6,09;6,09;6,09;6,09;6,09;5,54
01055;Valdegovía/Gaubea;20,43;20,50;20,50;20,50;20,50;20,50;20,50;20,53
48080;Valle de Trápaga-Trapagaran;0,86;0,86;0,86;0,86;0,86;0,86;0,86;0,84
20075;Villabona;0,74;0,74;0,23;0,23;0,23;0,23;0,23;0,17
01057;Villabuena de Álava/Eskuernaga;71,75;71,75;70,33;70,33;70,33;70,33;70,33;72,12
01059;Vitoria-Gasteiz;41,26;41,28;41,28;41,28;41,28;41,24;41,25;43,36
01060;Yécora/Iekora;72,01;72,01;70,99;70,99;70,99;70,99;70,99;69,63
48095;Zaldibar;3,32;3,32;3,32;3,32;3,32;3,32;3,32;3,14
20078;Zaldibia;0,72;0,72;0,72;0,72;0,72;0,72;0,72;0,62
01061;Zalduondo;37,69;37,69;37,69;37,69;37,69;37,69;37,72;37,92
48096;Zalla;1,41;1,41;1,25;1,25;1,25;1,22;1,22;1,14
01062;Zambrana;35,11;35,11;35,11;35,11;35,11;35,11;35,09;35,16
48905;Zamudio;3,69;3,69;3,36;3,36;3,42;3,36;3,36;3,00
48097;Zaratamo;1,47;1,47;1,38;1,38;1,38;1,38;1,38;1,70
20079;Zarautz;6,75;6,82;6,33;6,33;6,33;6,33;6,28;3,78
48024;Zeanuri;0,45;0,45;0,46;0,49;0,49;0,54;0,54;0,61
48025;Zeberio;0,44;0,44;0,44;0,44;0,44;0,44;0,44;0,53
20025;Zegama;0,34;0,34;0,34;0,34;0,34;0,34;0,35;0,11
20026;Zerain;0,98;0,98;0,79;0,79;0,79;0,79;0,79;0,38
20027;Zestoa;1,37;1,37;1,37;1,37;1,37;1,37;1,37;0,76
48913;Zierbena;2,64;2,64;2,64;2,64;2,64;2,64;2,64;3,18
01018;Zigoitia;16,87;16,87;16,87;16,87;16,87;16,87;16,87;17,07
48915;Ziortza-Bolibar;0,11;0,11;0,11;0,11;0,11;0,11;0,11;0,08
20028;Zizurkil;0,38;0,38;0,26;0,26;0,26;0,26;0,26;0,06
01063;Zuia;0,29;0,29;0,29;0,29;0,29;0,29;0,29;0,36
20081;Zumaia;3,00;3,00;2,72;2,72;2,72;2,72;2,70;0,44
20080;Zumarraga;0,59;0,59;0,59;0,59;0,59;0,59;0,59;0,27
