Indicadores municipales de sostenibilidad: Superficie municipal de especial protección (% superficie total);;;;;;;;;;;;;;;;;;
"";;;;;;;;;;;;;;;;;;
Resumen de datos;;;;;;;;;;;;;;;;;;
01008;Arratzua-Ubarrundia;0,77;0,77;0,77;0,77;0,84;0,84;0,84;0,84;0,84;0,84;0,85;2,18;2,18;2,18;2,18;2,17;2,17
48010;Arrieta;12,36;12,36;12,37;12,37;12,37;12,37;12,37;12,37;0,51;0,49;0,49;0,49;0,50;0,50;0,50;0,50;0,50
48011;Arrigorriaga;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05
48023;Artea;1,60;1,60;1,60;1,60;1,60;1,60;1,60;1,60;1,60;1,60;1,60;1,60;1,59;1,59;1,59;1,59;1,59
48008;Artzentales;16,32;16,32;16,33;16,33;16,33;16,33;16,33;16,33;16,33;16,33;12,94;12,94;12,91;12,91;12,91;12,90;12,90
01004;Artziniega;3,49;3,49;3,49;3,48;3,48;3,48;3,48;3,48;3,48;3,48;3,48;3,48;2,55;2,55;2,55;2,55;2,55
01009;Asparrena;59,20;59,20;59,20;59,20;59,20;59,20;59,20;47,32;47,32;47,32;47,33;47,15;47,19;47,19;47,19;47,19;44,79
20014;Asteasu;9,47;9,47;9,47;9,47;9,47;9,47;9,47;9,47;9,47;9,47;9,47;9,47;9,51;9,45;9,45;9,44;24,75
20903;Astigarraga;0,55;0,55;0,55;0,75;0,75;0,75;0,75;0,75;0,75;0,75;0,75;0,75;0,77;14,64;14,64;0,00;0,00
20015;Ataun;0,75;0,75;0,75;0,75;0,75;0,75;0,75;0,75;0,75;0,75;0,75;0,75;0,74;0,74;0,74;0,74;0,74
48091;Atxondo;3,73;3,73;3,73;3,73;3,73;3,73;3,73;3,73;3,73;3,74;3,74;3,74;3,76;3,76;3,76;3,76;3,76
48070;Aulesti;25,53;25,53;25,53;25,53;25,53;25,53;25,53;25,53;25,53;25,53;0,00;0,00;0,00;0,00;0,00;0,00;0,00
01010;Ayala/Aiara;0,33;0,33;0,33;0,33;0,33;0,33;0,36;0,36;0,36;0,36;0,36;0,35;0,35;0,35;0,35;0,35;0,35
20017;Azkoitia;20,36;20,36;20,36;20,36;20,36;20,36;20,36;20,37;20,37;20,37;20,38;20,38;20,54;19,86;19,86;19,86;20,80
20018;Azpeitia;39,30;39,30;39,30;39,30;39,30;39,29;39,29;39,31;39,31;39,31;44,48;44,57;44,28;44,28;44,28;44,28;2,33
01049;Añana;11,10;11,10;11,10;11,10;11,10;11,10;11,10;11,10;11,10;11,10;11,10;11,10;10,97;10,97;10,97;10,97;10,95
48012;Bakio;14,30;14,30;14,30;14,30;14,30;14,30;14,30;14,30;14,30;14,22;14,23;14,23;13,93;13,93;13,93;13,98;13,98
20904;Baliarrain;21,82;21,82;21,90;21,90;21,90;21,75;22,45;22,45;22,45;22,45;21,73;21,73;22,78;22,78;22,70;22,78;22,85
48090;Balmaseda;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48013;Barakaldo;1,73;1,73;1,73;1,73;1,73;1,73;1,73;1,73;1,73;1,73;1,73;1,73;1,47;1,78;1,78;1,78;1,78
48014;Barrika;21,11;21,11;21,11;21,08;21,08;21,08;21,81;21,81;21,81;21,81;21,30;21,30;19,26;19,26;19,49;19,47;19,47
01013;Barrundia;2,44;2,44;2,43;2,43;2,43;2,43;2,43;2,43;2,43;2,43;2,43;2,44;2,44;2,44;2,44;2,44;2,44
48015;Basauri;4,76;4,68;4,68;7,36;7,36;7,36;7,36;7,36;7,36;7,36;7,36;7,36;7,43;7,43;7,43;7,37;7,37
01011;Baños de Ebro/Mañueta;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20019;Beasain;20,87;20,87;20,87;20,87;20,87;20,91;20,91;20,91;20,90;20,90;21,02;21,02;21,11;21,11;21,11;21,11;12,65
48092;Bedia;42,06;42,06;42,06;42,06;42,06;42,06;42,06;42,06;42,06;42,06;42,06;42,06;41,78;41,78;41,78;41,78;41,78
20020;Beizama;7,03;7,03;7,03;7,03;7,03;15,46;15,44;15,44;15,47;15,47;15,48;15,48;15,43;15,17;15,17;15,17;15,19
20021;Belauntza;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48016;Berango;17,50;17,50;17,50;17,50;17,50;17,50;17,50;17,50;17,50;17,50;17,50;17,50;1,11;1,12;1,12;1,12;1,12
01014;Berantevilla;26,31;26,31;26,31;26,31;26,31;26,10;26,10;26,10;26,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20022;Berastegi;28,18;28,18;28,18;28,19;28,19;28,19;28,19;28,01;28,01;28,08;28,11;32,91;46,59;46,59;46,56;46,56;46,56
20074;Bergara;8,41;8,41;8,41;8,41;8,41;8,41;8,41;8,44;8,44;8,44;8,44;8,44;8,40;8,28;4,72;4,72;4,72
48017;Bermeo;13,57;13,57;13,57;13,57;13,57;13,57;13,57;13,57;13,57;13,01;13,01;13,01;12,85;12,85;12,85;12,84;12,70
01016;Bernedo;30,03;30,03;30,03;30,03;30,03;30,02;30,02;30,02;30,02;30,02;30,03;30,03;30,11;30,11;30,11;30,11;30,11
48018;Berriatua;23,02;23,02;23,02;23,03;23,03;23,04;23,04;23,04;23,04;23,02;23,24;23,24;22,00;24,69;24,69;24,70;24,71
48019;Berriz;64,58;64,58;64,58;64,58;64,58;64,49;64,65;64,65;64,65;64,65;64,57;64,08;63,88;63,88;63,88;63,82;63,82
20023;Berrobi;24,76;24,76;24,76;24,76;24,76;24,76;24,76;24,76;26,11;26,01;25,88;25,88;27,43;28,44;28,44;28,44;1,22
20024;Bidania-Goiatz;6,12;6,12;6,12;6,12;6,12;6,12;6,09;6,09;5,36;5,36;5,46;5,46;5,49;13,90;13,89;13,89;13,89
48020;Bilbao;11,26;24,72;24,71;24,71;24,70;24,70;24,70;24,70;24,70;24,70;24,28;21,53;24,45;24,51;25,34;25,38;25,53
48021;Busturia;18,85;18,85;18,66;18,66;18,66;19,05;19,05;19,05;19,05;19,00;19,00;19,00;19,14;19,14;19,15;19,16;19,16
01017;Campezo/Kanpezu;62,56;64,53;62,56;62,56;62,56;62,56;62,56;11,56;11,56;11,56;11,56;11,56;11,58;11,64;11,64;11,64;11,64
20029;Deba;13,42;13,42;13,42;13,42;13,42;13,42;13,42;13,44;13,44;13,00;13,02;13,02;13,00;12,60;12,60;12,59;8,61
48901;Derio;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48026;Dima;49,04;49,04;49,04;49,04;49,04;49,04;49,04;49,04;49,04;49,11;49,10;49,11;49,49;49,49;27,07;27,06;52,33
20069;Donostia / San Sebastián;15,22;15,22;15,22;15,22;15,22;15,22;15,22;15,22;15,22;15,22;15,22;15,22;15,26;2,04;2,04;2,04;2,04
48027;Durango;18,28;18,28;18,28;18,28;18,28;19,16;19,16;19,16;19,13;19,13;19,13;19,13;18,81;19,14;19,14;19,22;19,22
48028;Ea;9,78;9,78;9,78;9,78;9,78;9,78;9,78;9,78;21,03;21,09;21,09;21,08;20,73;20,73;20,73;20,75;20,75
20030;Eibar;1,51;1,51;1,51;1,51;1,51;1,51;1,51;1,51;1,51;1,51;1,50;1,50;1,50;1,66;1,66;14,94;7,19
48031;Elantxobe;66,87;66,87;66,87;66,87;66,87;66,87;66,87;66,87;66,87;66,87;67,16;67,16;64,95;64,95;65,05;65,16;65,16
01021;Elburgo/Burgelu;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,15;3,14;3,14;3,12;3,12;3,12;3,12;3,12
01022;Elciego;4,90;4,90;4,90;4,90;4,90;4,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20031;Elduain;77,45;77,45;77,45;77,51;77,51;77,51;77,51;78,05;78,05;77,61;77,58;77,56;78,22;78,22;78,19;78,19;78,19
20033;Elgeta;4,33;4,33;4,33;4,33;4,33;4,33;4,38;4,38;4,38;4,38;4,44;4,44;4,60;4,56;4,56;4,56;4,56
20032;Elgoibar;8,62;8,62;8,62;8,62;8,62;8,62;8,62;8,62;8,62;8,62;9,17;9,17;9,10;9,06;9,06;9,06;9,06
48032;Elorrio;4,11;4,11;4,11;4,11;4,11;4,16;4,04;4,04;4,04;4,04;4,01;4,01;42,43;42,43;42,43;42,43;42,43
01023;Elvillar/Bilar;2,72;2,72;2,72;2,72;2,72;2,72;2,72;2,72;2,72;2,72;2,72;2,72;0,00;0,00;0,00;0,00;0,00
48902;Erandio;5,76;5,76;5,76;5,76;5,76;5,76;5,76;5,76;5,76;6,45;5,91;5,91;6,18;6,36;6,36;6,35;6,35
48033;Ereño;30,04;30,04;30,04;30,04;30,02;30,02;30,02;30,02;30,01;30,01;30,10;30,71;30,20;30,20;30,20;30,18;30,18
