Indicadores municipales de sostenibilidad: Superficie ocupada por parques, jardines y zonas verdes urbanas (m²/persona);;;;;;
"";;;;;;
Resumen de datos;;;;;;
20048;Larraul;39,53;40,32;42,37;72,46;50,00
20902;Lasarte-Oria;16,71;16,87;18,23;16,67;15,91
01036;Laudio/Llodio;13,01;13,08;12,02;10,17;10,79
48053;Laukiz;22,32;22,94;2,83;2,02;2,06
20049;Lazkao;10,48;10,65;11,54;11,53;11,69
20050;Leaburu;30,85;31,66;39,47;39,89;40,00
20051;Legazpi;14,09;14,10;14,11;14,26;14,33
20052;Legorreta;6,72;6,81;7,00;7,08;7,13
01058;Legutio;8,01;8,01;8,12;8,32;8,57
20068;Leintz-Gatzaga;19,38;19,16;19,38;4,05;3,97
48054;Leioa;12,00;11,03;9,64;9,47;8,81
48057;Lekeitio;3,24;7,52;7,51;0,27;0,27
48055;Lemoa;23,16;19,65;27,36;28,75;22,27
48056;Lemoiz;11,57;11,64;11,67;16,26;13,53
01034;Leza;58,09;60,87;43,10;0,00;0,00
48081;Lezama;6,47;6,56;6,58;6,66;6,83
20053;Lezo;11,30;11,36;11,36;11,48;11,50
20054;Lizartza;7,62;3,16;3,21;3,32;3,34
48903;Loiu;48,22;53,27;56,89;55,92;56,59
48058;Mallabia;45,03;45,30;45,49;45,89;46,49
48060;Markina-Xemein;16,36;16,34;16,84;9,92;7,30
48061;Maruri-Jatabe;29,25;18,00;18,91;11,88;11,99
48059;Mañaria;19,42;20,20;21,10;2,11;2,22
20901;Mendaro;27,94;27,92;28,95;13,47;12,53
48062;Mendata;12,69;13,05;13,37;13,40;13,55
48063;Mendexa;56,56;55,80;58,82;59,52;62,19
48064;Meñaka;57,14;59,17;60,15;46,30;45,87
01039;Moreda de Álava / Moreda Araba;27,97;23,65;23,57;66,01;66,45
48066;Morga;16,79;17,28;17,77;17,99;17,77
48068;Mundaka;15,66;15,65;16,16;16,29;16,09
48069;Mungia;4,28;4,36;4,44;3,53;3,60
48007;Munitibar-Arbatzegi Gerrikaitz-;72,12;71,94;40,61;42,11;41,78
48908;Murueta;68,03;16,84;16,72;10,00;6,83
48071;Muskiz;30,19;30,62;31,09;25,97;26,14
20057;Mutiloa;84,39;89,29;90,50;98,04;100,00
20056;Mutriku;4,02;4,07;4,08;5,78;5,64
48067;Muxika;0,69;0,68;0,70;0,73;0,74
48909;Nabarniz;8,55;8,70;8,89;8,70;9,01
01041;Navaridas;4,59;9,09;0,00;0,00;0,00
20063;Oiartzun;19,11;19,31;19,45;17,29;12,78
01042;Okondo;64,02;65,56;65,92;56,34;57,25
20058;Olaberria;21,48;20,96;12,66;13,16;13,44
48073;Ondarroa;14,18;13,92;13,83;12,83;12,73
20076;Ordizia;6,82;6,83;6,77;7,07;17,25
20905;Orendain;26,74;11,11;11,43;5,88;5,88
20060;Orexa;224,14;8,62;;8,93;10,42
20061;Orio;15,94;16,37;16,62;16,28;10,18
20062;Ormaiztegi;12,99;12,94;13,07;13,13;13,45
48075;Orozko;19,58;10,25;10,36;9,33;9,47
48083;Ortuella;8,56;8,47;8,49;8,42;8,44
48072;Otxandio;14,24;14,68;14,83;9,34;9,62
01043;Oyón-Oion;6,03;6,22;6,30;;
20059;Oñati;12,60;12,49;12,40;12,39;12,40
20064;Pasaia;4,99;5,01;5,41;;
01044;Peñacerrada-Urizaharra;29,70;30,61;18,25;19,92;19,61
48077;Plentzia;5,93;5,97;5,97;6,14;6,30
48078;Portugalete;4,92;4,90;5,20;;
01047;Ribera Baja/Erribera Beitia;13,74;14,86;15,01;12,53;12,91
01051;Salvatierra/Agurain;104,36;95,24;97,88;75,55;77,17
01052;Samaniego;42,94;97,18;90,63;28,39;28,30
01053;San Millán/Donemiliaga;162,35;167,84;167,13;161,25;163,46
48082;Santurtzi;4,14;4,15;4,15;4,13;4,15
20070;Segura;13,78;14,50;14,75;13,18;13,25
48084;Sestao;10,01;9,91;9,88;9,88;9,87
48904;Sondika;22,36;22,27;31,98;28,71;29,15
48085;Sopela;17,01;16,68;16,85;16,84;17,31
48086;Sopuerta;137,97;140,68;145,28;146,37;147,36
20065;Soraluze-Placencia de las Armas;10,40;15,32;10,36;4,01;3,49
48076;Sukarrieta;119,05;119,05;121,21;97,35;97,63
20071;Tolosa;15,11;89,89;90,59;15,22;14,83
48087;Trucios-Turtzioz;117,97;29,68;29,30;29,30;30,19
48088;Ubide;5,88;6,13;62,50;6,49;6,45
48065;Ugao-Miraballes;92,78;93,29;93,71;22,53;22,61
48089;Urduliz;13,36;13,80;13,96;14,08;14,33
48074;Urduña/Orduña;78,77;63,07;63,36;64,40;57,07
01054;Urkabustaiz;43,55;46,17;47,74;49,74;51,96
20072;Urnieta;;;;11,80;11,98
20077;Urretxu;1,60;1,62;1,64;1,66;1,65
20073;Usurbil;38,74;9,18;9,43;9,38;9,41
01055;Valdegovía/Gaubea;114,44;110,32;106,53;;
48080;Valle de Trápaga-Trapagaran;8,16;10,15;10,11;8,06;7,28
20075;Villabona;21,15;21,27;19,56;19,55;19,82
01057;Villabuena de Álava/Eskuernaga;62,11;6,23;6,25;6,31;6,06
01059;Vitoria-Gasteiz;21,51;21,73;21,98;19,62;19,85
01060;Yécora/Iekora;33,56;25,72;26,49;26,23;27,30
48095;Zaldibar;65,30;65,82;67,65;68,62;69,56
20078;Zaldibia;101,67;100,33;101,88;103,23;104,82
01061;Zalduondo;99,50;102,04;82,47;78,82;80,40
48096;Zalla;7,23;7,22;7,24;7,23;7,32
01062;Zambrana;103,90;106,95;112,36;55,71;56,34
48905;Zamudio;80,93;80,78;80,22;69,23;51,42
48097;Zaratamo;46,51;16,06;16,04;26,02;19,71
20079;Zarautz;15,49;15,49;15,59;19,77;19,84
48024;Zeanuri;7,71;3,77;3,83;8,68;8,86
48025;Zeberio;7,63;7,61;7,46;7,44;7,49
20025;Zegama;21,75;22,33;22,93;23,74;16,92
20026;Zerain;154,47;158,33;157,68;155,10;155,74
20027;Zestoa;29,83;30,53;30,37;3,55;2,99
48913;Zierbena;21,71;21,93;15,74;16,33;15,64
01018;Zigoitia;11,77;12,22;12,12;12,84;6,87
48915;Ziortza-Bolibar;18,22;18,96;19,14;19,46;19,75
20028;Zizurkil;16,78;16,65;16,68;16,74;16,52
01063;Zuia;64,08;64,64;61,32;62,02;63,20
20081;Zumaia;7,67;7,71;7,87;8,32;8,38
20080;Zumarraga;8,31;8,28;8,36;9,28;9,27
