Indicadores municipales de sostenibilidad: Superficie forestal pública (% s/ superficie forestal total);;;;;;;;;
"";;;;;;;;;
Resumen de datos;;;;;;;;;
01046;Erriberagoitia/Ribera Alta;86,98;86,90;86,90;86,90;86,91;86,91;86,91;86,47
48079;Errigoiti;6,82;6,82;6,91;6,86;6,56;6,63;6,44;6,80
20034;Eskoriatza;5,13;5,15;5,16;5,17;5,17;5,19;5,08;5,29
48029;Etxebarri;63,77;63,77;65,22;65,91;65,91;65,91;65,91;69,29
48030;Etxebarria;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20035;Ezkio-Itsaso;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,00
48906;Forua;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48035;Fruiz;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20038;Gabiria;1,37;1,38;1,38;1,39;1,39;1,39;1,35;1,21
20037;Gaintza;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48036;Galdakao;34,59;34,59;34,74;35,35;35,29;35,18;35,23;35,53
48037;Galdames;62,59;62,59;61,61;61,60;61,81;61,86;61,14;60,88
48038;Gamiz-Fika;14,18;14,20;14,20;14,14;14,39;14,35;14,16;0,00
48039;Garai;23,38;23,38;23,03;23,03;23,26;23,31;22,96;21,21
48040;Gatika;6,07;6,09;6,09;6,19;6,54;6,63;6,52;0,00
48041;Gautegiz Arteaga;59,09;59,16;56,78;56,73;56,73;56,73;56,65;59,15
20907;Gaztelu;36,39;36,44;36,49;36,49;36,60;36,60;35,33;32,32
48046;Gernika-Lumo;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20039;Getaria;2,42;2,42;2,41;2,41;2,41;2,47;2,33;1,82
48044;Getxo;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48047;Gizaburuaga;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48042;Gordexola;38,96;38,81;37,10;37,43;37,45;37,65;37,19;37,07
48043;Gorliz;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48045;Güeñes;40,65;40,67;37,03;37,09;37,29;37,32;37,14;37,69
01056;Harana/Valle de Arana;98,04;98,09;98,09;98,09;98,09;98,09;98,09;97,99
20040;Hernani;26,63;26,47;26,47;26,47;26,53;26,30;26,11;26,21
20041;Hernialde;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20036;Hondarribia;61,80;61,80;61,80;61,80;61,80;61,92;61,82;58,42
20042;Ibarra;8,96;8,96;9,00;9,00;9,00;9,00;8,14;8,97
48048;Ibarrangelu;1,74;1,75;1,75;1,75;1,75;1,75;1,74;1,48
20043;Idiazabal;17,79;17,82;17,83;17,83;17,89;18,12;17,68;13,74
48094;Igorre;18,60;18,60;19,16;19,28;18,47;18,53;17,95;19,49
20044;Ikaztegieta;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20045;Irun;29,58;29,55;29,55;29,56;29,87;30,19;29,63;29,28
20046;Irura;54,59;54,59;54,59;54,59;54,59;54,59;53,12;51,09
01027;Iruraiz-Gauna;87,50;87,44;87,44;87,44;87,44;87,44;87,44;94,00
01901;Iruña Oka/Iruña de Oca;92,85;93,50;93,50;93,50;93,50;93,65;93,65;88,92
48049;Ispaster;14,64;14,64;15,36;15,36;15,38;15,55;15,18;15,05
20047;Itsasondo;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48910;Iurreta;8,51;8,56;7,46;7,50;7,54;7,55;7,41;7,24
48050;Izurtza;29,26;29,26;29,63;29,63;29,63;29,52;27,76;23,66
48022;Karrantza Harana/Valle de Carranza;63,28;63,33;61,54;61,62;61,58;62,65;62,45;64,61
48907;Kortezubi;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
01019;Kripan;71,38;71,38;71,13;71,13;71,13;71,13;71,13;70,14
01020;Kuartango;75,50;75,63;75,63;75,62;75,62;75,36;75,36;77,64
01028;Labastida/Bastida;83,62;83,62;83,54;83,54;84,04;84,04;84,04;81,97
01030;Lagrán;89,05;88,93;88,93;88,93;88,93;88,87;88,87;88,60
01031;Laguardia;79,03;79,11;78,98;78,98;78,98;78,41;78,41;79,98
01032;Lanciego/Lantziego;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48051;Lanestosa;55,32;55,32;12,77;12,77;12,77;12,77;12,77;13,95
01902;Lantarón;51,55;51,39;51,39;51,39;51,39;52,07;52,04;53,08
01033;Lapuebla de Labarca;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
48052;Larrabetzu;0,07;0,07;0,07;0,07;0,07;0,07;0,07;0,07
20048;Larraul;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
20902;Lasarte-Oria;13,75;13,66;13,66;13,66;13,66;13,66;13,58;8,11
01036;Laudio/Llodio;34,29;34,48;34,48;34,51;34,38;34,32;34,12;33,04
